Feature	syntagrus_stats.tsv	prof_stats.tsv	t-value	p-value
Non-projective sentences 	 0.09250846617660001 	 0.0737801090482 	 -7.37430515571 	 1.70130680982e-13
Non-projective arcs 	 0.0377713255415 	 0.023738406735400005 	 -11.6131123499 	 4.09420919088e-31
Average out-degree 	 0.908483060564 	 0.93067501052 	 44.7279248988 	 0.0
Max out-degree 	 3.6969315272199994 	 3.96473186555 	 22.2301454451 	 1.79619027511e-108
Number of communities 	 3.61604856694 	 4.23141693699 	 41.3476005867 	 0.0
Average community size 	 4.2556560652 	 4.5330741870699995 	 21.2942517964 	 1.08171315605e-99
Average path length 	 2.31604179729 	 2.5841633544900002 	 41.0141922485 	 0.0
Density 	 0.09150952316439999 	 0.0693215385857 	 -44.719525819 	 0.0
Diameter 	 5.17987527876 	 6.09752225826 	 42.6535030591 	 0.0
acl	 0.00227337002475 	 0.0019948996444 	 -2.39029427782 	 0.0168409086279
acl:relcl	 0.006012104599489999 	 0.00871921829022 	 14.019982257 	 1.8174322313e-44
advcl	 0.0159759019442 	 0.022779815885000002 	 20.785040035 	 4.57859898846e-95
advmod	 0.0927325831853 	 0.08319723208169999 	 -11.1617003712 	 7.22719389709e-29
amod	 0.125455372411 	 0.13631982677100002 	 12.2491568641 	 2.10510884659e-34
appos	 0.009091597915389998 	 0.00617742897025 	 -11.4755153558 	 1.96494915842e-30
aux	 0.0025386096812 	 0.0029089900421500003 	 2.47901961767 	 0.0131812256193
aux:pass	 0.00268797377262 	 0.00215411413502 	 -4.34976477808 	 1.36740476319e-05
case	 0.103558533828 	 0.106435171125 	 4.22877230881 	 2.35752167841e-05
cc	 0.047271646505899996 	 0.04629912252619999 	 -1.8513611641 	 0.0641278714989
ccomp	 0.00101112433129 	 0.000781942731864 	 -2.95157853551 	 0.00316400682831
clf	 0.0 	 0.0 	 nan 	 nan
compound	 0.0008812075615760002 	 0.000297133002295 	 -10.662270983 	 1.63002747489e-26
conj	 0.0469103283711 	 0.045805676225300004 	 -1.98743582518 	 0.0468835857247
cop	 0.009559662381559999 	 0.00805308538953 	 -5.50251109679 	 3.77536055523e-08
csubj	 0.0 	 0.0 	 nan 	 nan
dep	 0.00414451003359 	 0.004787986414630001 	 3.75809466721 	 0.000171601872061
det	 0.0 	 0.0 	 nan 	 nan
discourse	 0.00048447531245 	 0.00046773923532199995 	 -0.31295285321 	 0.754318990036
dislocated	 0.0 	 0.0 	 nan 	 nan
expl	 5.001294660600001e-05 	 7.356556510930001e-06 	 -3.30729958069 	 0.000942529396725
fixed	 0.009177038731270001 	 0.0100427227362 	 3.01456908743 	 0.00257601197594
flat	 0.00010873990450799998 	 1.12277514581e-05 	 -5.55468662975 	 2.79262653552e-08
flat:foreign	 0.00205670065654 	 0.0102681005436 	 22.7124988646 	 1.72732032228e-112
flat:name	 0.00493517484364 	 0.0039628223995800006 	 -5.52265541666 	 3.36523761514e-08
goeswith	 0.0 	 0.0 	 nan 	 nan
iobj	 0.00209917167319 	 0.00022413454087800001 	 -22.5978493607 	 1.32406186576e-112
list	 0.0 	 0.0 	 nan 	 nan
mark	 0.012922372564299999 	 0.0198552692797 	 22.688941412 	 1.16356094679e-112
nmod	 0.109055552337 	 0.11728309384400001 	 9.13009877964 	 7.31748449057e-20
nsubj	 0.10172689892799999 	 0.10156484772800001 	 -0.256372765881 	 0.79766486515
nsubj:pass	 0.0062803651878699995 	 0.00369568328232 	 -13.4276169939 	 5.26140861094e-41
nummod	 0.011209622628699999 	 0.012264003338899999 	 3.1862188616 	 0.00144327051001
nummod:entity	 5.83544170196e-05 	 1.27102403577e-05 	 -3.81673173755 	 0.000135367092154
nummod:gov	 0.00528835971197 	 0.00470956350516 	 -3.00386010911 	 0.00266797080226
obj	 0.0381337110933 	 0.0416500354835 	 6.88842805592 	 5.77012800085e-12
obl	 0.07973578005760001 	 0.08493392954420001 	 8.16455568848 	 3.36852400517e-16
obl:agent	 0.0018836510556199998 	 0.0012762501598599998 	 -6.58419767182 	 4.64260890409e-11
orphan	 0.00246889918072 	 0.000286042752207 	 -18.155255171 	 1.80696850443e-73
parataxis	 0.0245460687457 	 0.0200466467798 	 -11.3023575442 	 1.46350301646e-29
reparandum	 0.0 	 0.0 	 nan 	 nan
root	 0.10779984355000001 	 0.0778407685216 	 -42.0110245529 	 0.0
vocative	 3.16476636083e-05 	 0.0 	 nan 	 nan
xcomp	 0.009843032264 	 0.012885408541899998 	 10.4198322031 	 2.28348185097e-25
