Feature	syntagrus_stats.tsv	prof_stats.tsv	t-value	p-value
Non-projective sentences 	 0.0639327981462 	 0.045955500104 	 -8.69248809855 	 3.74149778286e-18
Non-projective arcs 	 0.020268165646099998 	 0.0116170952346 	 -12.3121234691 	 9.22468597621e-35
Average out-degree 	 0.909300951094 	 0.931146219676 	 45.4762629311 	 0.0
Max out-degree 	 3.6389969378500004 	 3.8927011852800004 	 22.3401839263 	 1.60706033375e-109
Number of communities 	 3.6262310684400005 	 4.23220350731 	 40.8851413228 	 0.0
Average community size 	 4.25120970436 	 4.5454015743900005 	 22.7735107991 	 1.3112259948e-113
Average path length 	 2.32408993832 	 2.6042640509 	 42.6977122432 	 0.0
Density 	 0.09069904890569999 	 0.0688537803241 	 -45.4762629303 	 0.0
Diameter 	 5.18447405446 	 6.132875857769999 	 43.9366063302 	 0.0
MHD 	 3.37170361229 	 3.78082766294 	 41.7187779374 	 0.0
MDD 	 1.13731109684 	 1.22759261922 	 16.6688749904 	 4.66437941741e-62
acl	 0.0111285528923 	 0.014234270540400001 	 11.2392330369 	 3.10106490374e-29
acl:relcl	 0.00647031978489 	 0.009282179478290001 	 13.2408895644 	 7.23202550113e-40
advcl	 0.0111689267317 	 0.014721212630000001 	 12.6535716122 	 1.39875937679e-36
advmod	 0.07372440139150001 	 0.0620228109605 	 -13.4197180037 	 6.09958781922e-41
amod	 0.10661568268100001 	 0.108313415195 	 1.79167216375 	 0.07319585345
appos	 0.0109943706516 	 0.00793701814089 	 -8.57224871057 	 1.05016148519e-17
aux	 0.0028066325906300005 	 0.0031838639227399997 	 2.1213520065 	 0.0339027299541
aux:pass	 0.00296782177373 	 0.00233340631036 	 -4.56686765594 	 4.96981802555e-06
case	 0.11428025584799999 	 0.114113345889 	 -0.217250977732 	 0.828014319455
cc	 0.0458432595663 	 0.042649862665599995 	 -5.51605934944 	 3.4941953259e-08
ccomp	 0.00667769467759 	 0.00939907498268 	 11.3552310846 	 8.39208583284e-30
compound	 0.00121341327157 	 0.000576881868109 	 -8.05639391541 	 8.02789227921e-16
conj	 0.052034146067000006 	 0.049021035113500006 	 -4.79068001431 	 1.67009755168e-06
cop	 0.00741281153625 	 0.006618849385020001 	 -2.95725666548 	 0.00310641661153
csubj	 0.00857182343278 	 0.00613411857788 	 -9.04051142265 	 1.64219169269e-19
csubj:pass	 0.00016254424937600003 	 4.75897170295e-05 	 -4.55710832983 	 5.19652379338e-06
det	 0.026966166644599998 	 0.0292070462101 	 4.60028893693 	 4.23832357816e-06
discourse	 0.0198319951075 	 0.0136511953336 	 -14.3713197198 	 1.0619194439e-46
fixed	 0.0100992566147 	 0.0109009735782 	 2.39991930772 	 0.0164058385683
flat	 0.00091278996904 	 0.000446998303924 	 -5.38250998563 	 7.3785717239e-08
flat:foreign	 0.0023194179148099997 	 0.010783512702799999 	 20.9640094293 	 2.26698595272e-96
flat:name	 0.005521671766020001 	 0.00413305926352 	 -6.91238518311 	 4.84260137029e-12
iobj	 0.0105812993965 	 0.0107962490877 	 0.670091255846 	 0.502804987704
mark	 0.021684752640400002 	 0.0294953715421 	 18.7088608128 	 1.42213629226e-77
nmod	 0.10784658292000002 	 0.11582946050699999 	 7.97066763427 	 1.63952416224e-15
nsubj	 0.11024031127900001 	 0.107677065132 	 -2.97764448147 	 0.00290694701419
nsubj:pass	 0.00698433180942 	 0.004108673008969999 	 -11.5701541574 	 6.65537968761e-31
nummod	 0.0125213950486 	 0.0132569940928 	 1.85036243564 	 0.0642730820592
nummod:gov	 0.00598322049524 	 0.00511501986859 	 -3.86428508338 	 0.000111620671617
obj	 0.0428991409606 	 0.0447656683903 	 3.0766905205 	 0.00209514006113
obl	 0.109593938663 	 0.111434303868 	 2.31412325335 	 0.0206683459454
orphan	 0.00232549375986 	 0.00021663385093 	 -14.3044338835 	 2.49411064244e-46
parataxis	 0.0280034709503 	 0.020667132920099997 	 -15.2646691447 	 1.95042420093e-52
xcomp	 0.013591416688000001 	 0.0169257069624 	 9.01073444979 	 2.1893458437e-19
